Tên coc,Toa do X,Toa do Y
229,1175479.26,607671.15,
230,1175471.24,607662.76,
231,1175467.1,607656.82,
232,1175462.97,607647.67,
233,1175460.61,607641.02,
234,1175457.69,607628.07,
235,1175464.06,607623.73,
236,1175469.64,607621.2,
237,1175471.01,607620.65,
238,1175480.05,607618.9,
239,1175481.94,607618.59,
240,1175485.57,607618,
241,1175492.94,607617.87,
242,1175512.31,607618.8,
243,1175514.97,607618.5,
244,1175527.06,607617.02,
245,1175531.76,607624.81,
246,1175540.17,607646.31,
247,1175545.41,607653.42,
248,1175549.68,607658.39,
249,1175551.46,607659.18,
250,1175551.85,607659.97,
251,1175575.25,607643.79,
252,1175593.17,607637.5,
253,1175612.44,607631.66,
254,1175613.95,607638.5,
255,1175618.48,607645.84,
256,1175626.9,607652.82,
257,1175636.98,607654.59,
258,1175653.49,607657.59,
259,1175656.59,607658.98,
260,1175666.34,607663.35,
261,1175675.61,607664.35,
262,1175680.43,607658.52,
263,1175687.51,607647.74,
264,1175714.83,607645.19,
265,1175717.64,607644.92,
266,1175739.79,607643.23,
267,1175754,607644.15,
268,1175753.25,607639.65,
269,1175778.7,607633.99,
270,1175782.3,607633.3,
271,1175793.45,607630.96,
272,1175829.16,607623.46,
273,1175824.4,607604.33,
274,1175820.92,607590.38,
275,1175817.8,607577.87,
276,1175818.07,607574.7,
277,1175816.94,607570.36,
278,1175814.96,607561.35,
279,1175811.93,607546.32,
280,1175803.92,607512.18,
281,1175803.6,607510.12,
282,1175784.17,607513.78,
283,1175782.15,607512.38,
284,1175764.34,607406.7,
285,1175764.25,607403.38,
286,1175752.61,607385.66,
287,1175751.13,607376.62,
288,1175748.57,607360.8,
289,1175749.02,607349.22,
290,1175749.55,607339.52,
291,1175753.23,607333.09,
292,1175769.9,607323.77,
293,1175819.69,607305.25,
294,1175823.82,607303.72,
295,1175826.24,607312.12,
296,1175877.04,607495.23,
297,1175885.71,607528.02,
298,1175895.43,607565.81,
299,1175923.65,607553.96,
300,1175952.05,607544.58,
301,1175975.81,607534.18,
302,1175988.12,607530.19,
303,1176004.94,607524.25,
304,1176010.74,607521.64,
305,1176019.08,607518.54,
306,1176027.12,607515.45,
307,1176045.38,607509.45,
308,1176062.34,607503.55,
309,1176065.71,607500.49,
310,1176074.54,607494.26,
311,1176085.57,607492.47,
312,1176076.41,607457.5,
313,1176075.25,607452.02,
314,1176078.29,607450.28,
315,1176084.49,607449.03,
316,1176086.47,607448.64,
317,1176092.66,607447.52,
318,1176091.74,607439.94,
319,1176103.36,607436.22,
320,1176109.22,607434.5,
321,1176107.62,607426.64,
322,1176126.32,607422.09,
323,1176126.21,607420.92,
324,1176129.09,607419.27,
325,1176134.63,607417.6,
326,1176143.82,607416.73,
